Rank,Feature,RF_Score,GB_Score,XGB_Score,Perm_Score,RF_Rank,GB_Rank,XGB_Rank,Perm_Rank,Avg_Rank,Voting_Score
1,FIXATION_COUNT,0.07475006547710919,0.20841295426584208,0.19443972,0.011894273127753308,2,1,1,5,2.25,18.75
2,FPCI,0.0771220324816898,0.11277444989759196,0.044599917,0.07112535042050462,1,2,7,1,2.75,18.25
3,Total Saccade Amplitude,0.0672421664863121,0.08031414790779473,0.055617794,0.014096916299559458,3,3,5,3,3.5,17.5
4,AS,0.056975153267977176,0.05590698851467222,0.03818686,0.025830997196635952,5,6,11,2,6.0,15.0
5,Valid Viewing Duration,0.05603685137523141,0.05732728050241453,0.03502745,0.01205446535843011,6,4,13,4,6.75,14.25
6,OEI,0.058627287628620836,0.04539104822390353,0.040495906,0.010372446936323576,4,8,10,6,7.0,14.0
7,AVERAGE_FIXATION_DURATION,0.054674573166652286,0.05525211997639638,0.04224192,0.0080096115338406,7,7,8,8,7.5,13.5
8,Dynamic range of pupil size,0.049802773373866245,0.05692389032834801,0.041449364,0.005346415698838591,9,5,9,9,8.0,13.0
9,FSI,0.026979572211139623,0.03151461273228359,0.08866381,0.009911894273127752,20,12,2,7,10.25,10.75
10,PIS,0.04616043730392823,0.029676016875379647,0.055490475,0.002963556267521028,11,14,6,11,10.5,10.5
11,AVERAGE_SACCADE_AMPLITUDE,0.043586264278507834,0.04483471092472189,0.033903833,0.004084901882258718,16,9,14,10,12.25,8.75
12,PRR,0.04578574316400629,0.030677426234145575,0.03613007,0.002663195835001997,12,13,12,12,12.25,8.75
13,Pupil size ratio,0.044739530482740486,0.025924198887038237,0.06046916,0.0009211053263916691,14,16,4,17,12.75,8.25
14,Fixation_skewness,0.0454124542887899,0.03574771389765176,0.0312133,0.0020824989987985655,13,11,15,13,13.0,8.0
15,SACCADE_COUNT,0.048039324196080535,0.006746758390717829,0.06355115,0.00036043251902281306,10,20,3,20,13.25,7.75
16,FSI2,0.04455827046839764,0.039232364558408055,0.031038716,0.001982378854625544,15,10,16,14,13.75,7.25
17,SFB,0.052938022663004285,0.021949535483392915,0.028421922,0.001862234681617947,8,17,18,15,14.5,6.5
18,Average Saccadic Velocity,0.0365884486617329,0.01853518676321061,0.028682211,0.0014617541049259052,17,18,17,16,17.0,4.0
19,SVI,0.03574963985743004,0.026215124456661694,0.02725839,0.000620744893872649,18,15,19,19,17.75,3.25
20,SER,0.03423138916678323,0.01664347117942475,0.023118101,0.0007609130957148436,19,19,20,18,19.0,2.0
